Mes,Precio ?/m2,Variaci¢n mensual %,Variaci¢n trimestral %,Variaci¢n anual %,Precio Venta ?/m2,Variaci¢n % venta mensual,Variaci¢n % venta trimestral,Variaci¢n % venta anual
Noviembre 2024,13.3,1.5,0.9,11.1,3712,2,4.4,17.1
Octubre 2024,13.0,0.1,-0.7,10.2,3638,1.9,3.8,15.4
Septiembre 2024,13.0,-0.7,-2.4,10.2,3569,0.4,3.7,14.1
Agosto 2024,13.1,0,-0.5,9.8,3554,1.4,4.4,13.2
Julio 2024,13.1,-1.6,1.3,10.4,3504,1.8,4.1,11.5
Junio 2024,13.4,1.1,5,13.2,344,1,3.3,9.5
Mayo 2024,13.2,1.8,5,13.4,3406,1.1,3.4,9
Abril 2024,13.0,2,4.9,13,3367,1.1,3.7,7.4
Marzo 2024,12.7,1.1,4.7,12.6,3331,1.2,3.8,7.1
Febrero 2024,12.6,1.7,5.5,11.9,3292,1.4,3.8,6.8
Enero 2024,12.4,1.8,4.5,10.8,3247,1.2,3,6.1
Diciembre 2023,12.1,1.9,2.7,10.1,3208,1.2,2.5,4.8
Noviembre 2023,11.9,0.7,-0.3,9.2,317,0.6,1,3.1
Octubre 2023,11.8,0,-0.6,9.4,3152,0.7,0.3,3.1
Septiembre 2023,11.8,-1.1,0.3,9.3,3129,-0.3,-0.4,2.8
Agosto 2023,12.0,0.5,2.7,9.5,3139,-0.1,0.5,2.9
Julio 2023,11.9,0.9,3.7,9.3,3143,0,0.3,3.7
Junio 2023,11.8,1.3,4.5,9.2,3142,0.6,1,4.3
Mayo 2023,11.6,1.4,3.6,9.4,3124,-0.3,1.3,4.3
Abril 2023,11.5,1.7,2.9,8.9,3134,0.7,2.4,5.5
Marzo 2023,11.3,0.5,2.4,7.9,3111,0.9,1.6,5.3
Febrero 2023,11.2,0.7,2.9,8,3083,0.7,0.3,4.6
Enero 2023,11.2,1.2,3.2,7.8,3061,0,0.1,4.7
Diciembre 2022,11.0,1,1.9,7.2,3062,-0.4,0.6,5.7
Noviembre 2022,10.9,1,0,6.2,3075,0.6,0.8,6.9
Octubre 2022,10.8,-0.1,-0.7,5.5,3057,0.5,0.8,6.5
Septiembre 2022,10.8,-0.9,0.1,5.3,3043,-0.3,1,5.7
Agosto 2022,10.9,0.3,2.6,5,3052,0.7,1.9,5.8
Julio 2022,10.9,0.8,3.3,4.3,3032,0.6,2,4.8
Junio 2022,10.8,1.5,3.3,3.4,3013,0.6,2,4.4
Mayo 2022,10.6,1,2.3,1.6,2996,0.8,1.6,4.9
Abril 2022,10.5,0.8,1.9,0.2,2971,0.6,1.7,5.1
Marzo 2022,10.5,0.5,1.7,-0.4,2954,0.2,1.9,4.6
Febrero 2022,10.4,0.6,1.3,-0.9,2948,0.9,2.4,5
Enero 2022,10.4,0.6,1,-2.2,2922,0.9,1.8,4.9
Diciembre 2021,10.3,0,0.1,-3.8,2897,0.7,0.6,4.4
Noviembre 2021,10.3,0.3,-1.2,-4.7,2878,0.3,-0.2,4.4
Octubre 2021,10.3,-0.2,-1.8,-4.9,2871,-0.3,-0.8,5.3
Septiembre 2021,10.3,-1.2,-1.7,-5,288,-0.1,-0.2,6.1
Agosto 2021,10.4,-0.4,-0.7,-4.7,2883,-0.4,1,6
Julio 2021,10.4,-0.1,-0.7,-4.2,2894,0.3,2.4,6.4
Junio 2021,10.5,-0.2,-0.4,-4,2885,1,2.2,7.1
Mayo 2021,10.5,-0.4,-0.3,-3.1,2855,1,1.7,5.1
Abril 2021,10.5,0.1,-0.6,-2,2826,0.1,1.4,3.8
Marzo 2021,10.5,0,-1.8,-1,2823,0.5,1.8,3.7
Febrero 2021,10.5,-0.7,-2.5,0.2,2808,0.8,1.8,3.4
Enero 2021,10.6,-1.1,-1.9,1.9,2786,0.4,2.2,2.8
Diciembre 2020,10.7,-0.8,-1.2,3.1,2774,0.6,2.2,1.9
Noviembre 2020,10.8,0,-1.2,4.4,2757,1.1,1.4,1.1
Octubre 2020,10.8,-0.4,-1.1,5.3,2727,0.5,0.3,0.6
Septiembre 2020,10.8,-0.8,-0.7,5.6,2714,-0.2,0.7,0.5
Agosto 2020,10.9,0.1,0.9,5.3,272,0,0.2,-0.5
Julio 2020,10.9,0.1,1.6,5.3,2719,0.9,-0.1,-0.8
Junio 2020,10.9,0.7,2.7,4.9,2695,-0.8,-1,-1.4
Mayo 2020,10.8,0.8,3.1,4.8,2715,-0.2,0,-0.7
Abril 2020,10.7,1.2,3.3,5.1,2721,0,0.4,-0.4
Marzo 2020,10.6,1.1,2.3,5,2723,0.3,0,0
Febrero 2020,10.5,1,1.5,4.9,2715,0.2,-0.4,0.4
Enero 2020,10.4,0.1,1.4,4.2,271,-0.5,0,1.2
Diciembre 2019,10.4,0.4,1.2,3.9,2723,-0.1,0.8,2.5
Noviembre 2019,10.3,0.9,-0.3,3.7,2726,0.6,-0.3,3.5
Octubre 2019,10.2,-0.1,-1.1,3.6,2711,0.4,-1.1,5.2
Septiembre 2019,10.3,-1.1,-1.3,3.6,2701,-1.2,-1.2,6.1
Agosto 2019,10.4,0,0.4,3.9,2734,-0.3,-0.1,7.5
Julio 2019,10.4,-0.2,1.5,4.2,2742,0.3,0.3,9.2
Junio 2019,10.4,0.6,2.8,5.4,2734,-0.1,0.4,10.8
Mayo 2019,10.3,1.1,3.2,5.4,2736,0.1,1.2,12.6
Abril 2019,10.2,1,2.5,4.3,2733,0.4,2.1,14.2
Marzo 2019,10.1,1,1.2,4.9,2723,0.7,2.4,15.6
Febrero 2019,10.0,0.4,0.4,5.8,2705,1,2.7,17
Enero 2019,10.0,-0.2,0.8,7.5,2677,0.7,3.9,18.1
Diciembre 2018,10.0,0.2,0.9,8.9,2658,0.9,4.4,18.4
Noviembre 2018,10.0,0.8,0,10.4,2633,2.2,3.6,18.4
Octubre 2018,9.9,-0.1,-0.6,10.7,2577,1.2,2.6,17.2
Septiembre 2018,9.9,-0.8,0.4,10.8,2546,0.1,3.2,16.8
Agosto 2018,10.0,0.2,1.8,11.6,2542,1.2,4.7,16.8
Julio 2018,9.9,0.9,1.6,12.1,2512,1.8,5,15.3
Junio 2018,9.9,0.7,2.3,12.1,2466,1.5,4.7,14.4
Mayo 2018,9.8,0.1,3.5,12.8,2429,1.6,5.1,13.3
Abril 2018,9.8,1.6,5.5,13.8,2392,1.6,5.5,11.5
Marzo 2018,9.6,1.9,5,13.6,2355,1.9,4.9,9.4
Febrero 2018,9.5,2,4.8,12.7,2311,2,3.9,7.4
Enero 2018,9.3,1.1,3.8,12.4,2266,1,3.1,5.3
Diciembre 2017,9.2,1.7,2.8,12.3,2245,0.9,3,3.9
Noviembre 2017,9.0,1,1,11.8,2224,1.2,2.2,3.4
Octubre 2017,8.9,0.1,0.7,11.1,2198,0.9,0.9,2.8
Septiembre 2017,8.9,-0.1,1.5,11.4,2179,0.1,1.1,2.1
Agosto 2017,8.9,0.7,2.9,11.3,2177,-0.1,1.5,1.4
Julio 2017,8.9,0.9,3.1,11.7,218,1.1,1.6,1.6
Junio 2017,8.8,1.3,3.7,12,2155,0.5,0.1,0.3
Mayo 2017,8.7,0.9,3.4,11.9,2145,0,-0.3,0.1
Abril 2017,8.6,1.4,4.2,11.8,2146,-0.4,-0.3,0.2
Marzo 2017,8.5,1,3.7,11.8,2154,0.1,-0.3,0.2
Febrero 2017,8.4,1.7,4,12.2,2152,0,0,0.3
Enero 2017,8.3,1,2.7,11.7,2152,-0.3,0.6,0.3
Diciembre 2016,8.2,1.2,2,10.9,216,0.3,1.2,0.3
Noviembre 2016,8.1,0.4,0.6,8.7,2152,0.6,0.3,-0.6
Octubre 2016,8.0,0.3,1.2,8.2,2139,0.2,-0.3,-0.9
Septiembre 2016,8.0,-0.1,2.1,7.5,2135,-0.6,-0.7,-0.6
Agosto 2016,8.0,1,3.5,7,2147,0,0.2,0
Julio 2016,7.9,1.2,3.3,6.2,2146,-0.2,0.2,-1.1
Junio 2016,7.9,1.2,3.6,5.9,2149,0.3,0,-1.3
Mayo 2016,7.8,0.9,3.7,5.1,2143,0.1,-0.1,-1.4
Abril 2016,7.7,1.4,4.1,4.5,2141,-0.3,-0.3,-1.2
Marzo 2016,7.6,1.4,2.9,3.8,2148,0.2,-0.2,-0.7
Febrero 2016,7.5,1.2,0.7,3,2144,-0.1,-1,-0.8
Enero 2016,7.4,0.3,-0.5,2.8,2147,-0.3,-0.6,-1
Diciembre 2015,7.4,-0.8,-1.1,2.1,2153,-0.6,0.2,-0.6
Noviembre 2015,7.4,0,-1,2.8,2165,0.3,0.9,-0.4
Octubre 2015,7.4,-0.4,-0.7,3.4,2159,0.5,-0.5,0
